Type,Sku,Name/Product Title,Manufacture Name,Short Description,Description,Part Number,_tni_model,In stock,Regular Price,Special Price,_supplier_name,_supplier_price,product_code,pcs,tag,color,size,Focus Keyword,Meta _Description,Categories,Images,Features_1,Features_2,Features_3,Features_4,Features_5,Features_6,Features_7,Features_8,Features_9,Features_10,specification_1,specification_2,specification_3,specification_4,specification_5,specification_6,specification_7,specification_8,specification_9,specification_10,specification_11,specification_12,specification_13,specification_14,specification_15,specification_16,specification_17,specification_18,specification_19,specification_20,wpbm_choose_badge
,pack-10-0029,"Al Bayader - White Shopping Bag with Twisted Handle, 34 x 29 + 17cm - Large",ALBAYADER,"Al Bayader - White Shopping Bag with Twisted Handle, 34 x 29 + 17cm - Large","The recyclable handle carrier bags to carry multiple take away items. The bag is free standing, which makes it easier to load products into the bag. Compact construction.
 Easy to clean and maintain.",,044WCB34-H,1,230,,Al Bayader,200,,,,,,Paper Bags,,Bags > Shopping Bags > Kraft Bags,/al-bayader-white-shopping-bag-with-twisted-handle-34-x-29-+-17cm-large-1.jpg,Takeaway Bags Twisted rope/paper Handles,"No elasticity, but it has a magical thing called ?gusset?",Customizable / Printable,,,,,,,,Brand Name: Al Bayader,Material: Paper,Color: White,Dimensions: 34 x 29 + 17cm,,,Model: 044WCB34-H,,,,,,,,,,,,,,
,pack-10-0030,"Al Bayader - Croissant Food Bag, 14+7x26cm (For 8 Croissants) - 1000pcs",ALBAYADER,"Al Bayader - Croissant Food Bag, 14+7x26cm (For 8 Croissants) - 1000pcs","Al Bayader International paper bag is safe, strong and economical food serving alternatives for fast food, cafeterias, and catering services. These eco-friendly bag is disposable and is perfect for storing hot or cold. Environmentally friendly material.",,044C08,1,97.75,,Al Bayader,85,,,,,,Croissants Paper Bag,,Bags > All Specialty Bags > Cookie Bags,/al-bayader-croissant-food-bag-14-+-7-x-26cm-(for-8-croissants)-1000pcs-1.jpg,Environmentally friendly material,Printed Paper bags,Wrap and carry bags,,,,,,,,Brand Name: Al Bayader,Dimensions: 14+7x21cm,Packing/Carton: 1000 Pcs,Material: Paper,,,Model: 044C08,,,,,,,,,,,,,,
,pack-10-0031,"Al Bayader - Croissant Food Paper Bag, 18+8x35cm (For 14 Croissants) - 1000pcs",ALBAYADER,"Al Bayader - Croissant Food Paper Bag, 18+8x35cm (For 14 Croissants) - 1000pcs","Al Bayader International paper bag is safe, strong and economical food serving alternatives for fast food, cafeterias, and catering services. These eco-friendly bag is disposable and is perfect for storing hot or cold. Environmentally friendly material.",,044C14,1,138,,Al Bayader,120,,,,,,Croissants Paper Bag,,Bags > All Specialty Bags > Cookie Bags,/al-bayader-croissant-food-paper-bag-18-+-8-x-35cm-(for-14-croissants)-1000pcs-1.jpg,Environmentally friendly material,Printed Paper bags,Wrap and carry bags,,,,,,,,Brand Name: Al Bayader,Dimensions: 18+8x35cm,Packing/Carton: 1000 Pcs,Material: Paper,,,Model: 044C14,,,,,,,,,,,,,,
,pack-10-0032,"Al Bayader - Croissant Paper Bag, 26+8.5x35cm (For 16 Croissants) - 1000pcs",ALBAYADER,"Al Bayader - Croissant Paper Bag, 26+8.5x35cm (For 16 Croissants) - 1000pcs","Al Bayader International paper bag is safe, strong and economical food serving alternatives for fast food, cafeterias, and catering services. These eco-friendly bag is disposable and is perfect for storing hot or cold. Environmentally friendly material.",,044C16,1,178.25,,Al Bayader,155,,,,,,Croissants Paper Bag,,Bags > All Specialty Bags > Cookie Bags,/al-bayader-croissant-paper-bag-26-+-8.5-x-35cm-(for-16-croissants)-1000pcs-1.jpg,Environmentally friendly material,Printed Paper bags,Wrap and carry bags,,,,,,,,Brand Name: Al Bayader,Dimensions: 26+8.5x35cm,Packing/Carton: 1000 Pcs,Material: Paper,,,Model: 044C16,,,,,,,,,,,,,,
,pack-10-0033,"Al Bayader - Printed Food Paper Bag Greaseproof, 190x160+50mm - 1000pcs",ALBAYADER,"Al Bayader - Printed Food Paper Bag Greaseproof, 190x160+50mm - 1000pcs","Al Bayader International paper bag is safe, strong and economical food serving alternatives for fast food, cafeterias, and catering services. These eco-friendly bag is disposable and is perfect for storing hot or cold. Environmentally friendly material.",,044GP19,1,143.75,,Al Bayader,125,,,,,,Food Bag,,Bags > All Specialty Bags > Food Bags,/al-bayader-printed-food-paper-bag-greaseproof-190-x-160-+-50mm-1000pcs-1.jpg,Greeseproof Paper Bag,Printed Paper bags,Wrap and carry bags,,,,,,,,Brand Name: Al Bayader,Dimensions: 190x160+50mm,Packing/Carton: 1000 Pcs,Material: Paper,,,Model: 044GP19,,,,,,,,,,,,,,
,pack-10-0034,"Al Bayader - Printed Food Paper Bag Greaseproof, 265x195+50mm - 1000pcs",ALBAYADER,"Al Bayader - Printed Food Paper Bag Greaseproof, 265x195+50mm - 1000pcs","Al Bayader International paper bag is safe, strong and economical food serving alternatives for fast food, cafeterias, and catering services. These eco-friendly bag is disposable and is perfect for storing hot or cold. Environmentally friendly material.",,044GP26,1,166.75,,Al Bayader,145,,,,,,Food Bag,,Bags > All Specialty Bags > Food Bags,/al-bayader-printed-food-paper-bag-greaseproof-265-x-195-+-50mm-1000pcs-1.jpg,Greeseproof Paper Bag,Printed Paper bags,Wrap and carry bags,,,,,,,,Brand Name: Al Bayader,Dimensions: 265x195+50mm,Packing/Carton: 1000 Pcs,Material: Paper,,,Model: 044GP26,,,,,,,,,,,,,,
,pack-10-0035,"Al Bayader - White Disposal Foam Plate, 10.25in - 500pcs",ALBAYADER,"Al Bayader - White Disposal Foam Plate, 10.25in - 500pcs","Al Bayader International? Foam Plate is safe, strong and economical food serving alternatives for fast food, cafeterias, and catering services.",,034FP10T,1,80.2125,,Al Bayader,69.75,,,,,,Disposable Plates,,"Food Packaging > Plates, Bowls and Cups > Plates",/al-bayader-white-disposal-foam-plate-10.25in-500pcs-1.jpg,Lightweight and inexpensive,Strong insulating abilities,Cut-resistant and non-absorbent,,,,,,,,Brand Name: Al Bayader,Dimension: 10.25in,Color: White,,,,Model: 034FP10T,,,,,,,,,,,,,,
,pack-10-0036,"Al Bayader - White Ripple Paper Cup, 8oz - 25pcs x 40pkts",ALBAYADER,"Al Bayader - White Ripple Paper Cup, 8oz - 25pcs x 40pkts","Al Bayader International? Foam Cups with its multipurpose properties are a great alternative for any cold or hot drink cups requirements. Best of all they are strong, safe and economical. Available in popular sizes with up to 5-colors printing option.",,042CG8,1,112.2975,,Al Bayader,97.65,,,,,,Disposable Cups,,Paper Products > Ripple Paper Cups,/al-bayader-white-ripple-paper-cup-8oz-25pcs-x-40pkts-1.jpg,Corrugated paper cup and ripple paper cup,Paper coffee cup,Ripple wall cups suitable for all drinks,,,,,,,,Brand Name: Al Bayader,Product Size: 8 oz,Color: White,,,,Model: 042CG8,,,,,,,,,,,,,,
,pack-10-0037,"Al Bayader - White Disposal Foam Cup, 6oz - 25pcsx40pkts",ALBAYADER,"Al Bayader - White Disposal Foam Cup, 6oz - 25pcsx40pkts","Al Bayader International? Foam Cups with its multipurpose properties are a great alternative for any cold or hot drink cups requirements. Best of all they are strong, safe and economical. Available in popular sizes with up to 5-colors printing option.",,032FC06,1,53.475,,Al Bayader,46.5,,,,,,Disposable Cups,,"Food Packaging > Plates, Bowls and Cups > Cups",/al-bayader-white-disposal-foam-cup-6oz-25pcs-x-40pkts-1.jpg,Ideal option for hot or cold beverages,"Low-cost, lightweight vessel",Foam cups are available in traditional white,,,,,,,,Brand Name: Al Bayader,Product Size: 6 oz,Color: White,,,,Model: 032FC06,,,,,,,,,,,,,,
,pack-10-0038,"AL Bayader - Printed Paper Cup with Handle 7oz, Mocha - 50pcsx20pkts",ALBAYADER,"AL Bayader - Printed Paper Cup with Handle 7oz, Mocha - 50pcsx20pkts",Al Bayader International? Printed Paper Cup with handle is just right for hot drinks. The handle makes it comfortable to hold.,,042PCU7M,1,64.17,,Al Bayader,55.8,,,,,,Single Wall Cups,,Paper Products > Single Wall Cups,/al-bayader-printed-paper-cup-with-handle-7oz-mocha-50pcs-x-20pkts-1.jpg,High quality paper cups,Easy to hold hot & cold beverages,GSM 190,,,,,,,,Brand Name: Al Bayader,Product Size: 7oz,Material: Paper,,,,Model: 042PCU7M,,,,,,,,,,,,,,
,pack-10-0039,"AL Bayader - Printed Paper Cups 7oz, Mocha - 1000pcs",ALBAYADER,"AL Bayader - Printed Paper Cups 7oz, Mocha - 1000pcs","Al Bayader International Printed Paper Cup is just right for hot or cold drinks as it is comfortable to hold & drink. These eco-friendly paper cups are disposable & is perfect for hot & cold drinks. Environmentally friendly, making it a responsible choice for your business.",,042PCU7M/NH,1,63.25,,Al Bayader,55,,,,,,Single Wall Cups,,Paper Products > Single Wall Cups,/al-bayader-printed-paper-cups-7oz-mocha-1000pcs-1.jpg,High quality paper cups,Easy to hold hot & cold beverages,GSM 190,,,,,,,,Brand Name: Al Bayader,Product Size: 7oz,Material: Paper,,,,Model: 042PCU7M/NH,,,,,,,,,,,,,,
,pack-10-0040,"AL Bayader - Plain Paper Cup 4oz, White - 50pcsx20pkts",ALBAYADER,"AL Bayader - Plain Paper Cup 4oz, White - 50pcsx20pkts","Al Bayader International Printed Paper Cup is just right for hot or cold drinks as it is comfortable to hold & drink. These eco-friendly paper cups are disposable & is perfect for hot & cold drinks. Environmentally friendly, making it a responsible choice for your business.",,042PCU4P,1,69,,Al Bayader,60,,,,,,Single Wall Cups,,Paper Products > Single Wall Cups,/al-bayader-plain-paper-cup-4oz-white-50pcs-x-20pkts-1.jpg,High quality paper cups,Easy to hold hot & cold beverages,Ideal option for hot or cold beverages,,,,,,,,Brand Name: Al Bayader,Product Size: 4oz,Material: Paper,,,,Model: 042PCU4P,,,,,,,,,,,,,,
,pack-10-0041,"AL Bayader - Printed Paper Cup 6.5oz, Blue Skies - 50pcsx20pkts",ALBAYADER,"AL Bayader - Printed Paper Cup 6.5oz, Blue Skies - 50pcsx20pkts","Al Bayader International Printed Paper Cup is just right for hot or cold drinks as it is comfortable to hold & drink. These eco-friendly paper cups are disposable & is perfect for hot & cold drinks. Environmentally friendly, making it a responsible choice for your business.",,042PCU6.5,1,63.25,,Al Bayader,55,,,,,,Single Wall Cups,,Paper Products > Single Wall Cups,/al-bayader-printed-paper-cup-6.5oz-blue-skies-50pcs-x-20pkts-1.jpg,High quality paper cups,Easy to hold hot & cold beverages,Ideal option for hot or cold beverages,,,,,,,,Brand Name: Al Bayader,Product Size: 6.5oz,Material: Paper,,,,Model: 042PCU6.5,,,,,,,,,,,,,,
